,year,quarter,title,studio,castcrew,link_en
30,1990,Q1,Blind Fury,TriStar Pictures / Interscope Communications,"Phillip Noyce (director); Charles Robert Carner (screenplay); Rutger Hauer, Terry O'Quinn, Brandon Call, Noble Willingham, Lisa Blount, Randall ""Tex"" Cobb, Nick Cassavetes, Rick Overton, Meg Foster, Sho Kosugi, Charles Cooper, Weasel Forshaw, Roy Morgan, Tim Mateer, Sharon Shackelford, Jay Pennison, Tiger Chung Lee",/wiki/Blind_Fury
31,1990,Q1,Blue Steel,Metro-Goldwyn-Mayer,"Kathryn Bigelow (director/screenplay); Eric Red (screenplay); Jamie Lee Curtis, Ron Silver, Clancy Brown, Elizabeth Peña, Louise Fletcher, Philip Bosco, Richard Jenkins, Kevin Dunn, Tom Sizemore, Mary Mara, Mike Hodge, Mike Starr",/wiki/Blue_Steel_(1990_film)
32,1990,Q1,The Forbidden Dance,Columbia Pictures,"Greydon Clark (director); Roy Langsdon, John Platt (screenplay); Laura Harring, Jeff James, Angela Moya, Sid Haig, Shannon Farnon, Linden Chiles, Pilar Del Rey, Ruben Moreno, Barbra Brighton, Richard Lynch, Kid Creole",/wiki/The_Forbidden_Dance
33,1990,Q1,Lambada,Cannon Films,"Joel Silberg (director/screenplay); Sheldon Renan (screenplay); J. Eddie Peck, Melora Hardin, Adolfo ""Shabba-Doo"" Quinones, Leticia Vasquez, Dennis Burkley, Rita Bland, Ricky Paull Goldin, Kristina Starman, Matt Feemster, Kayla Blake, Keene Curtis, Lauren Gale, Basil Hofman",/wiki/Lambada_(1990_American_film)
34,1990,Q1,Lord of the Flies,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,"Harry Hook (director); Jay Presson Allen (screenplay); Balthazar Getty, Chris Furrh, Danuel Pipoly, James Badge Dale, Andrew Taft, Edward Taft, Gary Rule, Michael Greene, Bob Peck",/wiki/Lord_of_the_Flies_(1990_film)
35,1990,Q1,Nuns on the Run,20th Century Fox,"Jonathan Lynn (director/screenplay); Eric Idle, Robbie Coltrane, Camille Coduri, Janet Suzman, Robert Patterson, Doris Hare, Lila Kaye, Tom Hickey, Robert Morgan, Winston Dennis, Gary Tang, David Forman, Ozzie Yue",/wiki/Nuns_on_the_Run
36,1990,Q1,Pretty Woman,Touchstone Pictures,"Garry Marshall (director); J. F. Lawton (screenplay); Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander, Héctor Elizondo, Laura San Giacomo, Julie Paris, Alex Hyde-White, Amy Yasbeck, Elinor Donahue, John David Carson, Judith Baldwin, Laurelle Brooks Mehus, James Patrick Stuart, Dey Young, Larry Miller, Patrick Richwood, Hank Azaria, Amzie Strickland, Lynda Goodfriend, Abdul Salaam El Razzac",/wiki/Pretty_Woman
37,1990,Q1,A Shock to the System,Corsair Pictures,"Jan Egleson (director); Andrew Klavan (screenplay); Michael Caine, Elizabeth McGovern, Peter Riegert, Swoosie Kurtz, Will Patton, John McMartin, Jenny Wright, Philip Moon, Barbara Baxley, Haviland Morris, Samuel L. Jackson",/wiki/A_Shock_to_the_System_(1990_film)
38,1990,Q1,Opportunity Knocks,Universal Pictures / Imagine Entertainment,"Donald Petrie (director); Mitchel Katlin, Nat Bernstein (screenplay); Dana Carvey, Robert Loggia, Todd Graff, Julia Campbell, Milo O'Shea, James Tolkan, Doris Belack, Sally Gracie, Mike Bacarella, John M. Watson Sr., Beatrice Fredman, Thomas McElroy, Gene Honda, Del Close, Michelle Johnston, Lorna Raver, Judith Scott",/wiki/Opportunity_Knocks_(film)
39,1990,Q1,Side Out,TriStar Pictures,"Peter Israelson (director); David Thoreau (screenplay); C. Thomas Howell, Peter Horton, Harley Jane Kozak, Courtney Thorne-Smith, Christopher Rydell, Terry Kiser, Randy Stoklos, Sinjin Smith, Tony Burton, Kathy Ireland, Martha Vélez",/wiki/Side_Out
40,1990,Q1,Teenage Mutant Ninja Turtles,New Line Cinema,"Steve Barron (director); Todd W. Langen, Bobby Herbeck (screenplay); Judith Hoag, Elias Koteas, Jay Patterson, Michael Turney, Raymond Serra, James Saito, Toshishiro Obata, Brian Tochi, Corey Feldman, Josh Pais, Robbie Rist, Kevin Clash, David McCharen, Michael McConnohie, Martin P. Robinson, David Forman, David Rudman, Leif Tilden, Ernie Reyes Jr., Kenn Troum, Mak Wilson, Michelan Sisti",/wiki/Teenage_Mutant_Ninja_Turtles_(1990_film)
41,1990,Q1,The Ambulance,Triumph Films,"Larry Cohen (director/screenplay); Eric Roberts, James Earl Jones, Megan Gallagher, Red Buttons, Janine Turner, Eric Braeden, Richard Bright, James Dixon, Laurene Landon, Nicholas Chinlund, Beatrice Winde, Rudy Jones, Stan Lee, Susan Blommaert, Michael O'Hare",/wiki/The_Ambulance
0,1990,Q2,Catchfire,Vestron Pictures,"Dennis Hopper (director); Rachel Kronstadt Mann, Ann Louise Bardach, Alex Cox, Tod Davies (screenplay); Jodie Foster, Dennis Hopper, Dean Stockwell, Vincent Price, John Turturro, Fred Ward, Julie Adams, Catherine Keener, Charlie Sheen, Burke Byrnes, Bob Dylan, Joe Pesci, Alex Cox, Toni Basil",/wiki/Catchfire
1,1990,Q2,"The Cook, the Thief, His Wife & Her Lover",Palace Pictures / Miramax,"Peter Greenaway (director/screenplay); Richard Bohringer, Michael Gambon, Helen Mirren, Alan Howard, Tim Roth, Ciarán Hinds, Gary Olsen, Ewan Stewart, Roger Ashton-Griffiths, Liz Smith, Ian Dury, Diane Langton, Paul Russell, Emer Gillespie, Ron Cook, Alex Kingston, Roger Lloyd-Pack, Bob Goody","/wiki/The_Cook,_the_Thief,_His_Wife_%26_Her_Lover"
2,1990,Q2,Cry-Baby,Universal Pictures / Imagine Entertainment,"John Waters (director/screenplay); Johnny Depp, Amy Locane, Polly Bergen, Susan Tyrrell, Iggy Pop, Ricki Lake, Traci Lords, Kim McGuire, Darren E. Burrows, Kim Webb, Stephen Mailer, Alan J. Wendl, Jonathan Benya, Jessica Raskin, Troy Donahue, Mink Stole, Joe Dallesandro, Joey Heatherton, David Nelson, Patricia Hearst, Robert Tyree, Willem Dafoe, James Intveld, Rachel Sweet",/wiki/Cry-Baby
3,1990,Q2,Ernest Goes to Jail,Touchstone Pictures,"John R. Cherry III (director); Charlie Cohen (screenplay); Jim Varney, Gailard Sartain, Bill Byrge, Barbara Tyson, Barry Scott, Randall ""Tex"" Cobb, Dan Leegant, Charles Napier, Jackie Welch, Jim Conrad, Emily Corbishdale, Andy Stahl, Myke R. Mueller",/wiki/Ernest_Goes_to_Jail
4,1990,Q2,The First Power,Orion Pictures,"Robert Resnikoff (director/screenplay); Lou Diamond Phillips, Tracy Griffith, Jeff Kober, Mykel T. Williamson, Elizabeth Arlen, Dennis Lipscomb, Carmen Argenziano, Clayton Landey, Sue Giosa, Oz Tortora, Dan Tullis Jr., Hansford Rowe, Grand L. Bush, Bill Moseley, David Gale, Philip Abbott",/wiki/The_First_Power
5,1990,Q2,I Love You to Death,TriStar Pictures,"Lawrence Kasdan (director); John Kostmayer (screenplay); Kevin Kline, Tracey Ullman, Joan Plowright, River Phoenix, William Hurt, Keanu Reeves, James Gammon, Jack Kehler, Victoria Jackson, Miriam Margolyes, Alisan Porter, Jon Kasdan, Heather Graham, Phoebe Cates",/wiki/I_Love_You_to_Death
6,1990,Q2,Impulse,Warner Bros. Pictures,"Sondra Locke (director); John DeMarco, Leigh Chapman (screenplay); Theresa Russell, Jeff Fahey, George Dzundza, Alan Rosenberg",/wiki/Impulse_(1990_film)
7,1990,Q2,In the Spirit,Academy Entertainment,"Sandra Seacat (director); Jeannie Berlin, Laurie Jones (screenplay); Jeannie Berlin, Olympia Dukakis, Peter Falk, Melanie Griffith, Elaine May, Marlo Thomas, Philip Schopper, Agda Antonio, Laurie Jones, Phil Harper, Steve Powers, David Eigenberg, Chad Burton, Thurn Hoffman, Mark Boone Junior, Gary Swanson, Rockets Redglare, Roy Nathanson, Michael Emil, Emidio LaVella, Christopher Durang",/wiki/In_the_Spirit_(film)
8,1990,Q2,Crazy People,Paramount Pictures,"Tony Bill (director); Mitch Markowitz (screenplay); Dudley Moore, Daryl Hannah, Paul Reiser, J. T. Walsh, Mercedes Ruehl, Alan North, David Paymer, Bill Smitrovich, Danton Stone, Paul Bates, Dick Cusack, Doug Yasuda, Floyd Vivino, Ben Hammer, David Packer",/wiki/Crazy_People
9,1990,Q2,The Gods Must Be Crazy II,Columbia Pictures,"Jamie Uys (director/screenplay); N!xau, Lena Farugia, Hans Strydom, Eiros, Nadies, Erick Bowen, Treasure Tshabalala, Pierre Van Pletzen, Lourens Swanepoel",/wiki/The_Gods_Must_Be_Crazy_II
10,1990,Q2,Vital Signs,20th Century Fox,"Marisa Silver (director); Larry Ketron, Jeb Stuart (screenplay); Adrian Pasdar, Diane Lane, William Devane, Norma Aleandro, Jimmy Smits, Jack Gwaltney, Laura San Giacomo, Jane Adams, Tim Ransom, Bradley Whitford, Lisa Jane Persky, Wallace Langham, James Karen, Eric Zoltaszek",/wiki/Vital_Signs_(1990_film)
11,1990,Q2,Chattahoochee,Hemdale Film Corporation,"Mick Jackson (director); James Hicks (screenplay); Gary Oldman, Dennis Hopper, Frances McDormand, Pamela Reed, Ned Beatty, M. Emmet Walsh, Lee Wilkof, Matt Craven, Richard Portnow, Wilbur Fitzgerald, William Newman",/wiki/Chattahoochee_(film)
12,1990,Q2,Lisa,Metro-Goldwyn-Mayer / United Artists,"Gary Sherman (director/screenplay); Karen Clark (screenplay); Cheryl Ladd, D. W. Moffett, Staci Keanan, Tanya Fenmore, Jeffrey Tambor, Julie Cobb, Edan Gross",/wiki/Lisa_(1990_film)
13,1990,Q2,Miami Blues,Orion Pictures,"George Armitage (director/screenplay); Alec Baldwin, Fred Ward, Jennifer Jason Leigh, Charles Napier, Nora Dunn, Obba Babatundé, Jose Perez, Paul Gleason",/wiki/Miami_Blues
14,1990,Q2,The Guardian,Universal Pictures,"William Friedkin (director/screenplay); Stephen Volk, Dan Greenburg (screenplay); Jenny Seagrove, Dwier Brown, Carey Lowell, Brad Hall, Miguel Ferrer, Natalia Nogulich, Pamela Brull, Gary Swanson, Willy Parsons, Frank Noon, Theresa Randle, Xander Berkeley, Jack David Walker, Ray Reinhardt, Jacob Gelman",/wiki/The_Guardian_(1990_film)
15,1990,Q2,Q&A,TriStar Pictures,"Sidney Lumet (director/screenplay); Nick Nolte, Timothy Hutton, Armand Assante, Lee Richardson, Patrick O'Neal, Jenny Lumet, Charles S. Dutton, Luis Guzmán, Paul Calderon, Fyvush Finkel, Dominic Chianese",/wiki/Q%26A_(film)
16,1990,Q2,Spaced Invaders,Touchstone Pictures,"Patrick Read Johnson (director/screenplay); Scott Lawrence Alexander (screenplay); Douglas Barr, Ariana Richards, Royal Dano, Gregg Berger, Wayne Alexander, Fred Applegate, J.J. Anderson, Patrika Darbo, Tonya Lee Williams, Kevin Thompson, Jimmy Briscoe, Tony Cox, Debbie Lee Carrington, Tommy Madden, Jeff Winkless, Tony Pope, Joe Alaskey, Bruce Lanoli, Patrick Read Johnson, Kirk Thatcher",/wiki/Spaced_Invaders
17,1990,Q2,Wild Orchid,Triumph Releasing,"Zalman King (director/screenplay); Patricia Louisianna Knop (screenplay); Mickey Rourke, Jacqueline Bisset, Carré Otis, Bruce Greenwood, Assumpta Serna",/wiki/Wild_Orchid_(film)
18,1990,Q2,Short Time,20th Century Fox,"Gregg Champion (director); John Blumenthal, Michael Berry (screenplay); Dabney Coleman, Matt Frewer, Teri Garr, Barry Corbin, Joe Pantoliano, Xander Berkeley, Kaj-Erik Eriksen, Rob Roy, Tony Pantages, Kim Kondrashoff, Paul Jarrett, Kevin McNulty, Paul Batten, Wes Tritter",/wiki/Short_Time
19,1990,Q2,Tales from the Darkside: The Movie,Paramount Pictures,"John Harrison (director); Michael McDowell, George A. Romero (screenplay); Deborah Harry, Christian Slater, David Johansen, William Hickey, James Remar, Rae Dawn Chong, Matthew Lawrence, Steve Buscemi, Julianne Moore, Robert Sedgwick, George Guidall, Kathleen Chalfant, Ralph Marrero, Alice Drummond, Dolores Sutton, Mark Margolis, Robert Klein, Nicole Rochelle",/wiki/Tales_from_the_Darkside:_The_Movie
20,1990,Q2,The Big Bang,Triton Pictures,"James Toback (director); James Toback, Anne Marie Keyes, Barbara Traub, Tony Sirico, Fred Hess, Veronica Geng, Jack Richardson, Don Simpson, Elaine Kaufman",/wiki/The_Big_Bang_(1989_film)
21,1990,Q2,Class of 1999,Lightning Pictures,"Mark L. Lester (director); C. Courtney Joyner, Bradley Gregg (screenplay); Bradley Gregg, Traci Lind, Malcolm McDowell, Stacy Keach, Patrick Kilpatrick, Pam Grier, John P. Ryan, Darren E. Burrows, Joshua John Miller, Sharon Wyatt, Brent David Fraser",/wiki/Class_of_1999
22,1990,Q2,Far Out Man,New Line Cinema,"Tommy Chong (director/screenplay); Tommy Chong, C. Thomas Howell, Rae Dawn Chong, Shelby Chong, Paris Chong, Martin Mull, Judd Nelson, Michael Winslow, Cheech Marin, Paul Bartel, Bobby Taylor, Reynaldo Rey, Peggy McIntaggart, Al Mancini, Lisa M. Hansen, Cynthia Darlow, Henry Kingi, Rae Allen, Paul Hertzberg",/wiki/Far_Out_Man
23,1990,Q2,A Show of Force,Paramount Pictures,"Bruno Barreto (director); Evan Jones, John Strong (screenplay); Amy Irving, Andy García, Lou Diamond Phillips, Robert Duvall, Kevin Spacey, Erik Estrada, Jorge Castillo, Lupe Ontiveros",/wiki/A_Show_of_Force
24,1990,Q2,Bird on a Wire,Universal Pictures,"John Badham (director); Louis Venosta, David Seltzer (screenplay); Mel Gibson, Goldie Hawn, David Carradine, Bill Duke, Stephen Tobolowsky, Joan Severance, Jeff Corey",/wiki/Bird_on_a_Wire_(film)
25,1990,Q2,Cadillac Man,Orion Pictures,"Roger Donaldson (director); Ken Friedman (screenplay); Robin Williams, Tim Robbins, Pamela Reed, Fran Drescher, Lauren Tom, Lori Petty, Annabella Sciorra, Zack Norman, Paul Guilfoyle, Bill Nelson, Eddie Jones, Mimi Cecchini, Tristine Skyler, Judith Hoag, Anthony Powers, Paul Herman, Erik King, Richard Panebianco, Gary Howard Klar",/wiki/Cadillac_Man
26,1990,Q2,By Dawn's Early Light,HBO Pictures / Paravision International,"Jack Sholder (director); Bruce Gilbert (screenplay); Powers Boothe, Rebecca De Mornay, James Earl Jones, Martin Landau, Darren McGavin, Rip Torn, Jeffrey DeMunn, Peter MacNicol, Glenn Withrow, Ronald William Lawrence, Kieran Mulroney, Nicolas Coster, Ken Jenkins, Randal Patrick, Daniel Benzali, Robert O'Reilly, Ann Gillespie, Glenn Morshower, Dana Kimmell, Jon Paul Steuer, Danielle von Zerneck, Jon Cedar, Paul Tompkins, Richard Speight Jr., Steve Eastin, Mike Gomez, Andrew Divoff",/wiki/By_Dawn%27s_Early_Light
27,1990,Q2,The Swordsman,Film Workshop,"King Hu (director); Kwan Man-leung (screenplay); Sam Hui, Cecilia Yip, Jacky Cheung, Sharla Cheung, Fennie Yuen",/wiki/The_Swordsman_(1990_film)
28,1990,Q2,Back to the Future Part III,Universal Pictures / Amblin Entertainment,"Robert Zemeckis (director); Bob Gale (screenplay); Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson, Elisabeth Shue, Matt Clark, Richard Dysart, Pat Buttram, Harry Carey Jr., Dub Taylor, James Tolkan, Marc McClure, Wendie Jo Sperber, Jeffrey Weissman, Christopher Wynne, Sean Gregory Sullivan, Mike Watson, Hugh Gillin, Burton Gilliam, Bill McKinney, Donovan Scott, Flea, J.J. Cohen, Ricky Dean Logan, Marvin J. McIntyre, Dean Cundey, ZZ Top",/wiki/Back_to_the_Future_Part_III
29,1990,Q2,Fire Birds,Touchstone Pictures,"David Green (director); Nick Thiel, Paul F. Edwards (screenplay); Nicolas Cage, Tommy Lee Jones, Sean Young, Bryan Kestner, Bert Rhine, Dale Dye, Mary Ellen Trainor, J. A. Preston, Peter Onorati, Gabriel López",/wiki/Fire_Birds
30,1990,Q2,Frankenhooker,Shapiro-Glickenhaus Entertainment,"Frank Henenlotter (director/screenplay); Robert ""Bob"" Martin (screenplay); Patty Mullen, Louise Lasser, James Lorinz",/wiki/Frankenhooker
